Timesteps: 10000, Eval reward: -0.22222222222222227
Timesteps: 20000, Eval reward: -0.22222222222222227
Timesteps: 30000, Eval reward: 0.0
Timesteps: 40000, Eval reward: 0.0
Timesteps: 50000, Eval reward: 0.027777777777777783
Timesteps: 60000, Eval reward: 0.027777777777777783
Timesteps: 70000, Eval reward: 0.027777777777777783
Timesteps: 80000, Eval reward: -0.22222222222222227
Timesteps: 90000, Eval reward: 0.0
Timesteps: 100000, Eval reward: -0.22222222222222227
Timesteps: 110000, Eval reward: -0.5
Timesteps: 120000, Eval reward: 0.027777777777777783
Timesteps: 130000, Eval reward: -0.27777777777777773
Timesteps: 140000, Eval reward: 0.0
Timesteps: 150000, Eval reward: -0.027777777777777783
Timesteps: 160000, Eval reward: 0.027777777777777783
Timesteps: 170000, Eval reward: 0.0
Timesteps: 180000, Eval reward: 0.027777777777777783
Timesteps: 190000, Eval reward: -0.30555555555555547
Timesteps: 200000, Eval reward: 0.0
Timesteps: 210000, Eval reward: 0.0
Timesteps: 220000, Eval reward: -0.055555555555555566
Timesteps: 230000, Eval reward: -0.0833333333333333
Timesteps: 240000, Eval reward: -0.055555555555555566
Timesteps: 250000, Eval reward: -0.0833333333333333
Timesteps: 260000, Eval reward: -0.11111111111111113
Timesteps: 270000, Eval reward: -0.27777777777777773
Timesteps: 280000, Eval reward: -0.1666666666666666
Timesteps: 290000, Eval reward: -0.11111111111111113
Timesteps: 300000, Eval reward: -0.25
Timesteps: 310000, Eval reward: -0.11111111111111113
Timesteps: 320000, Eval reward: -0.055555555555555566
Timesteps: 330000, Eval reward: -0.0833333333333333
Timesteps: 340000, Eval reward: 0.0
Timesteps: 350000, Eval reward: -0.3333333333333332
Timesteps: 360000, Eval reward: -0.13888888888888887
Timesteps: 370000, Eval reward: -0.0833333333333333
Timesteps: 380000, Eval reward: -0.1666666666666666
Timesteps: 390000, Eval reward: -0.1666666666666666
Timesteps: 400000, Eval reward: -0.027777777777777783
Timesteps: 410000, Eval reward: -0.11111111111111113
Timesteps: 420000, Eval reward: -0.1666666666666666
Timesteps: 430000, Eval reward: -0.1666666666666666
Timesteps: 440000, Eval reward: -0.027777777777777783
Timesteps: 450000, Eval reward: -0.055555555555555566
Timesteps: 460000, Eval reward: -0.055555555555555566
Timesteps: 470000, Eval reward: -0.027777777777777783
Timesteps: 480000, Eval reward: 0.0
Timesteps: 490000, Eval reward: -0.0833333333333333
Timesteps: 500000, Eval reward: -0.0833333333333333
Timesteps: 510000, Eval reward: 0.0
Timesteps: 520000, Eval reward: 0.0
Timesteps: 530000, Eval reward: 0.0
Timesteps: 540000, Eval reward: 0.027777777777777783
Timesteps: 550000, Eval reward: 0.027777777777777783
Timesteps: 560000, Eval reward: -0.055555555555555566
Timesteps: 570000, Eval reward: -0.0833333333333333
Timesteps: 580000, Eval reward: 0.0
Timesteps: 590000, Eval reward: 0.0
Timesteps: 600000, Eval reward: 0.0
Timesteps: 610000, Eval reward: 0.0
Timesteps: 620000, Eval reward: 0.027777777777777783
Timesteps: 630000, Eval reward: 0.0
Timesteps: 640000, Eval reward: -0.055555555555555566
Timesteps: 650000, Eval reward: 0.0
Timesteps: 660000, Eval reward: 0.0
Timesteps: 670000, Eval reward: 0.0
Timesteps: 680000, Eval reward: 0.0
Timesteps: 690000, Eval reward: 0.0
Timesteps: 700000, Eval reward: -0.027777777777777783
Timesteps: 710000, Eval reward: 0.0
Timesteps: 720000, Eval reward: 0.0
Timesteps: 730000, Eval reward: 0.0
Timesteps: 740000, Eval reward: -0.027777777777777783
Timesteps: 750000, Eval reward: 0.0
Timesteps: 760000, Eval reward: -0.055555555555555566
Timesteps: 770000, Eval reward: 0.0
Timesteps: 780000, Eval reward: -0.027777777777777783
Timesteps: 790000, Eval reward: -0.055555555555555566
Timesteps: 800000, Eval reward: -0.027777777777777783
Timesteps: 810000, Eval reward: 0.0
Timesteps: 820000, Eval reward: -0.027777777777777783
Timesteps: 830000, Eval reward: -0.055555555555555566
Timesteps: 840000, Eval reward: -0.055555555555555566
Timesteps: 850000, Eval reward: -0.055555555555555566
Timesteps: 860000, Eval reward: -0.055555555555555566
Timesteps: 870000, Eval reward: -0.027777777777777783
Timesteps: 880000, Eval reward: 0.0
Timesteps: 890000, Eval reward: -0.027777777777777783
Timesteps: 900000, Eval reward: -0.055555555555555566
Timesteps: 910000, Eval reward: -0.055555555555555566
Timesteps: 920000, Eval reward: -0.055555555555555566
Timesteps: 930000, Eval reward: -0.027777777777777783
Timesteps: 940000, Eval reward: -0.055555555555555566
Timesteps: 950000, Eval reward: -0.11111111111111113
Timesteps: 960000, Eval reward: 0.0
Timesteps: 970000, Eval reward: -0.19444444444444453
Timesteps: 980000, Eval reward: 0.0
Timesteps: 990000, Eval reward: 0.0
Timesteps: 1000000, Eval reward: 0.0
