Timesteps: 10000, Eval reward: 0.0
Timesteps: 20000, Eval reward: 0.05
Timesteps: 30000, Eval reward: 0.0
Timesteps: 40000, Eval reward: 0.0
Timesteps: 50000, Eval reward: 0.0
Timesteps: 60000, Eval reward: 0.0
Timesteps: 70000, Eval reward: 0.0
Timesteps: 80000, Eval reward: 0.0
Timesteps: 90000, Eval reward: 0.0
Timesteps: 100000, Eval reward: 0.0
Timesteps: 110000, Eval reward: 0.0
Timesteps: 120000, Eval reward: 0.0
Timesteps: 130000, Eval reward: 0.0
Timesteps: 140000, Eval reward: 0.0
Timesteps: 150000, Eval reward: 0.0
Timesteps: 160000, Eval reward: 0.0
Timesteps: 170000, Eval reward: 0.0
Timesteps: 180000, Eval reward: 0.0
Timesteps: 190000, Eval reward: 0.0
Timesteps: 200000, Eval reward: 0.0
Timesteps: 210000, Eval reward: 0.0
Timesteps: 220000, Eval reward: 0.0
Timesteps: 230000, Eval reward: 0.0
Timesteps: 240000, Eval reward: 0.0
Timesteps: 250000, Eval reward: 0.0
Timesteps: 260000, Eval reward: 0.0
Timesteps: 270000, Eval reward: 0.0
Timesteps: 280000, Eval reward: 0.0
Timesteps: 290000, Eval reward: 0.0
Timesteps: 300000, Eval reward: 0.0
Timesteps: 310000, Eval reward: 0.0
Timesteps: 320000, Eval reward: 0.0
Timesteps: 330000, Eval reward: 0.0
Timesteps: 340000, Eval reward: 0.05
Timesteps: 350000, Eval reward: 0.0
Timesteps: 360000, Eval reward: 0.0
Timesteps: 370000, Eval reward: 0.0
Timesteps: 380000, Eval reward: 0.0
Timesteps: 390000, Eval reward: -0.05
Timesteps: 400000, Eval reward: 0.0
Timesteps: 410000, Eval reward: 0.0
Timesteps: 420000, Eval reward: 0.0
Timesteps: 430000, Eval reward: 0.0
Timesteps: 440000, Eval reward: 0.0
Timesteps: 450000, Eval reward: 0.0
Timesteps: 460000, Eval reward: -0.05
Timesteps: 470000, Eval reward: 0.0
Timesteps: 480000, Eval reward: 0.0
Timesteps: 490000, Eval reward: 0.0
Timesteps: 500000, Eval reward: 0.0
Timesteps: 510000, Eval reward: 0.0
Timesteps: 520000, Eval reward: 0.0
Timesteps: 530000, Eval reward: 0.0
Timesteps: 540000, Eval reward: 0.0
Timesteps: 550000, Eval reward: 0.0
Timesteps: 560000, Eval reward: 0.0
Timesteps: 570000, Eval reward: 0.0
Timesteps: 580000, Eval reward: 0.0
Timesteps: 590000, Eval reward: 0.0
Timesteps: 600000, Eval reward: 0.0
Timesteps: 610000, Eval reward: 0.05
Timesteps: 620000, Eval reward: 0.0
Timesteps: 630000, Eval reward: 0.0
Timesteps: 640000, Eval reward: 0.0
Timesteps: 650000, Eval reward: 0.0
Timesteps: 660000, Eval reward: 0.0
Timesteps: 670000, Eval reward: 0.0
Timesteps: 680000, Eval reward: 0.0
Timesteps: 690000, Eval reward: 0.0
Timesteps: 700000, Eval reward: 0.0
Timesteps: 710000, Eval reward: 0.0
Timesteps: 720000, Eval reward: 0.0
Timesteps: 730000, Eval reward: 0.0
Timesteps: 740000, Eval reward: 0.0
Timesteps: 750000, Eval reward: 0.0
Timesteps: 760000, Eval reward: 0.0
Timesteps: 770000, Eval reward: 0.0
Timesteps: 780000, Eval reward: 0.0
Timesteps: 790000, Eval reward: 0.0
Timesteps: 800000, Eval reward: 0.0
Timesteps: 810000, Eval reward: 0.0
Timesteps: 820000, Eval reward: 0.0
Timesteps: 830000, Eval reward: 0.0
Timesteps: 840000, Eval reward: 0.0
Timesteps: 850000, Eval reward: 0.0
Timesteps: 860000, Eval reward: 0.0
Timesteps: 870000, Eval reward: 0.0
Timesteps: 880000, Eval reward: 0.0
Timesteps: 890000, Eval reward: 0.0
Timesteps: 900000, Eval reward: 0.0
Timesteps: 910000, Eval reward: 0.0
Timesteps: 920000, Eval reward: 0.0
Timesteps: 930000, Eval reward: 0.1
Timesteps: 940000, Eval reward: 0.0
Timesteps: 950000, Eval reward: 0.0
Timesteps: 960000, Eval reward: 0.0
Timesteps: 970000, Eval reward: 0.0
Timesteps: 980000, Eval reward: 0.0
Timesteps: 990000, Eval reward: 0.0
Timesteps: 1000000, Eval reward: 0.0
