Timesteps: 10000, Eval reward: 0.07272727272727272
Timesteps: 20000, Eval reward: 0.06363636363636363
Timesteps: 30000, Eval reward: 0.06818181818181818
Timesteps: 40000, Eval reward: 0.23636363636363633
Timesteps: 50000, Eval reward: 0.11363636363636362
Timesteps: 60000, Eval reward: 0.11363636363636365
Timesteps: 70000, Eval reward: 0.16363636363636358
Timesteps: 80000, Eval reward: 0.23181818181818176
Timesteps: 90000, Eval reward: 0.2863636363636363
Timesteps: 100000, Eval reward: 0.19545454545454546
Timesteps: 110000, Eval reward: 0.2272727272727272
Timesteps: 120000, Eval reward: 0.20909090909090905
Timesteps: 130000, Eval reward: 0.0818181818181818
Timesteps: 140000, Eval reward: 0.14999999999999997
Timesteps: 150000, Eval reward: 0.0590909090909091
Timesteps: 160000, Eval reward: 0.06818181818181818
Timesteps: 170000, Eval reward: 0.06818181818181818
Timesteps: 180000, Eval reward: 0.06363636363636363
Timesteps: 190000, Eval reward: 0.06818181818181818
Timesteps: 200000, Eval reward: 0.07272727272727272
Timesteps: 210000, Eval reward: 0.05000000000000001
Timesteps: 220000, Eval reward: 0.04545454545454546
Timesteps: 230000, Eval reward: 0.05000000000000001
Timesteps: 240000, Eval reward: 0.05000000000000001
Timesteps: 250000, Eval reward: 0.19999999999999998
Timesteps: 260000, Eval reward: 0.20909090909090908
Timesteps: 270000, Eval reward: 0.16363636363636358
Timesteps: 280000, Eval reward: 0.24090909090909088
Timesteps: 290000, Eval reward: 0.2863636363636363
Timesteps: 300000, Eval reward: 0.24999999999999994
Timesteps: 310000, Eval reward: 0.18181818181818182
Timesteps: 320000, Eval reward: 0.2
Timesteps: 330000, Eval reward: 0.15454545454545454
Timesteps: 340000, Eval reward: 0.15909090909090906
Timesteps: 350000, Eval reward: 0.22727272727272724
Timesteps: 360000, Eval reward: 0.10909090909090909
Timesteps: 370000, Eval reward: 0.14545454545454545
Timesteps: 380000, Eval reward: 0.14545454545454545
Timesteps: 390000, Eval reward: 0.14545454545454545
Timesteps: 400000, Eval reward: 0.14090909090909087
Timesteps: 410000, Eval reward: 0.12272727272727271
Timesteps: 420000, Eval reward: 0.11363636363636362
Timesteps: 430000, Eval reward: 0.17727272727272725
Timesteps: 440000, Eval reward: 0.16363636363636358
Timesteps: 450000, Eval reward: 0.13636363636363633
Timesteps: 460000, Eval reward: 0.0818181818181818
Timesteps: 470000, Eval reward: 0.13181818181818178
Timesteps: 480000, Eval reward: 0.11818181818181817
Timesteps: 490000, Eval reward: 0.09999999999999999
Timesteps: 500000, Eval reward: 0.07727272727272724
Timesteps: 510000, Eval reward: 0.09545454545454543
Timesteps: 520000, Eval reward: 0.11363636363636362
Timesteps: 530000, Eval reward: 0.1
Timesteps: 540000, Eval reward: 0.10454545454545454
Timesteps: 550000, Eval reward: 0.17272727272727273
Timesteps: 560000, Eval reward: 0.16363636363636358
Timesteps: 570000, Eval reward: 0.14090909090909087
Timesteps: 580000, Eval reward: 0.17272727272727267
Timesteps: 590000, Eval reward: 0.14999999999999997
Timesteps: 600000, Eval reward: 0.12272727272727271
Timesteps: 610000, Eval reward: 0.08636363636363634
Timesteps: 620000, Eval reward: 0.08181818181818182
Timesteps: 630000, Eval reward: 0.04545454545454546
Timesteps: 640000, Eval reward: 0.09545454545454544
Timesteps: 650000, Eval reward: 0.06363636363636363
Timesteps: 660000, Eval reward: 0.08636363636363635
Timesteps: 670000, Eval reward: 0.05454545454545454
Timesteps: 680000, Eval reward: 0.10909090909090909
Timesteps: 690000, Eval reward: 0.10909090909090909
Timesteps: 700000, Eval reward: 0.05909090909090908
Timesteps: 710000, Eval reward: 0.06363636363636363
Timesteps: 720000, Eval reward: 0.22727272727272724
Timesteps: 730000, Eval reward: 0.28636363636363626
Timesteps: 740000, Eval reward: 0.22272727272727266
Timesteps: 750000, Eval reward: 0.17272727272727273
Timesteps: 760000, Eval reward: 0.15454545454545449
Timesteps: 770000, Eval reward: 0.07272727272727274
Timesteps: 780000, Eval reward: 0.0909090909090909
Timesteps: 790000, Eval reward: 0.05454545454545454
Timesteps: 800000, Eval reward: 0.09545454545454544
Timesteps: 810000, Eval reward: 0.11818181818181814
Timesteps: 820000, Eval reward: 0.15454545454545449
Timesteps: 830000, Eval reward: 0.1136363636363636
Timesteps: 840000, Eval reward: 0.07727272727272726
Timesteps: 850000, Eval reward: 0.08636363636363635
Timesteps: 860000, Eval reward: 0.07727272727272726
Timesteps: 870000, Eval reward: 0.0909090909090909
Timesteps: 880000, Eval reward: 0.07727272727272727
Timesteps: 890000, Eval reward: 0.09999999999999996
Timesteps: 900000, Eval reward: 0.10454545454545452
Timesteps: 910000, Eval reward: 0.05454545454545454
Timesteps: 920000, Eval reward: 0.0590909090909091
Timesteps: 930000, Eval reward: 0.11363636363636362
Timesteps: 940000, Eval reward: 0.08181818181818182
Timesteps: 950000, Eval reward: 0.06818181818181819
Timesteps: 960000, Eval reward: 0.07727272727272726
Timesteps: 970000, Eval reward: 0.04545454545454546
Timesteps: 980000, Eval reward: 0.05454545454545455
Timesteps: 990000, Eval reward: 0.06818181818181818
Timesteps: 1000000, Eval reward: 0.08636363636363635
