Timesteps: 10000, Eval reward: 0.24444444444444452
Timesteps: 20000, Eval reward: 0.3416666666666667
Timesteps: 30000, Eval reward: 0.33055555555555555
Timesteps: 40000, Eval reward: 0.3541666666666667
Timesteps: 50000, Eval reward: 0.37500000000000006
Timesteps: 60000, Eval reward: 0.3708333333333334
Timesteps: 70000, Eval reward: 0.31388888888888883
Timesteps: 80000, Eval reward: 0.39305555555555555
Timesteps: 90000, Eval reward: 0.36249999999999993
Timesteps: 100000, Eval reward: 0.3583333333333334
Timesteps: 110000, Eval reward: 0.3722222222222223
Timesteps: 120000, Eval reward: 0.36944444444444446
Timesteps: 130000, Eval reward: 0.4041666666666667
Timesteps: 140000, Eval reward: 0.45
Timesteps: 150000, Eval reward: 0.4569444444444444
Timesteps: 160000, Eval reward: 0.49027777777777787
Timesteps: 170000, Eval reward: 0.4625000000000001
Timesteps: 180000, Eval reward: 0.4611111111111111
Timesteps: 190000, Eval reward: 0.48194444444444445
Timesteps: 200000, Eval reward: 0.5069444444444445
Timesteps: 210000, Eval reward: 0.5430555555555555
Timesteps: 220000, Eval reward: 0.44444444444444436
Timesteps: 230000, Eval reward: 0.5208333333333333
Timesteps: 240000, Eval reward: 0.5458333333333332
Timesteps: 250000, Eval reward: 0.5472222222222223
Timesteps: 260000, Eval reward: 0.5319444444444444
Timesteps: 270000, Eval reward: 0.6027777777777776
Timesteps: 280000, Eval reward: 0.6055555555555554
Timesteps: 290000, Eval reward: 0.5791666666666666
Timesteps: 300000, Eval reward: 0.5708333333333332
Timesteps: 310000, Eval reward: 0.5777777777777777
Timesteps: 320000, Eval reward: 0.5416666666666667
Timesteps: 330000, Eval reward: 0.5680555555555556
Timesteps: 340000, Eval reward: 0.5902777777777777
Timesteps: 350000, Eval reward: 0.5833333333333334
Timesteps: 360000, Eval reward: 0.5958333333333333
Timesteps: 370000, Eval reward: 0.5750000000000001
Timesteps: 380000, Eval reward: 0.523611111111111
Timesteps: 390000, Eval reward: 0.5597222222222222
Timesteps: 400000, Eval reward: 0.5569444444444442
Timesteps: 410000, Eval reward: 0.575
Timesteps: 420000, Eval reward: 0.5638888888888889
Timesteps: 430000, Eval reward: 0.6291666666666667
Timesteps: 440000, Eval reward: 0.5694444444444444
Timesteps: 450000, Eval reward: 0.5874999999999999
Timesteps: 460000, Eval reward: 0.6263888888888889
Timesteps: 470000, Eval reward: 0.6583333333333334
Timesteps: 480000, Eval reward: 0.6597222222222222
Timesteps: 490000, Eval reward: 0.6208333333333333
Timesteps: 500000, Eval reward: 0.6027777777777777
Timesteps: 510000, Eval reward: 0.6513888888888888
Timesteps: 520000, Eval reward: 0.6833333333333333
Timesteps: 530000, Eval reward: 0.6222222222222221
Timesteps: 540000, Eval reward: 0.6236111111111111
Timesteps: 550000, Eval reward: 0.6777777777777778
Timesteps: 560000, Eval reward: 0.5791666666666666
Timesteps: 570000, Eval reward: 0.6430555555555556
Timesteps: 580000, Eval reward: 0.5388888888888889
Timesteps: 590000, Eval reward: 0.6333333333333334
Timesteps: 600000, Eval reward: 0.5930555555555556
Timesteps: 610000, Eval reward: 0.5486111111111112
Timesteps: 620000, Eval reward: 0.5763888888888888
Timesteps: 630000, Eval reward: 0.5569444444444445
Timesteps: 640000, Eval reward: 0.6027777777777776
Timesteps: 650000, Eval reward: 0.6791666666666666
Timesteps: 660000, Eval reward: 0.6597222222222221
Timesteps: 670000, Eval reward: 0.5180555555555555
Timesteps: 680000, Eval reward: 0.6402777777777777
Timesteps: 690000, Eval reward: 0.5819444444444445
Timesteps: 700000, Eval reward: 0.5666666666666667
Timesteps: 710000, Eval reward: 0.6319444444444444
Timesteps: 720000, Eval reward: 0.6680555555555554
Timesteps: 730000, Eval reward: 0.6347222222222222
Timesteps: 740000, Eval reward: 0.7152777777777779
Timesteps: 750000, Eval reward: 0.6611111111111111
Timesteps: 760000, Eval reward: 0.6736111111111112
Timesteps: 770000, Eval reward: 0.6555555555555557
Timesteps: 780000, Eval reward: 0.6250000000000001
Timesteps: 790000, Eval reward: 0.6124999999999999
Timesteps: 800000, Eval reward: 0.6041666666666667
Timesteps: 810000, Eval reward: 0.6138888888888889
Timesteps: 820000, Eval reward: 0.6611111111111112
Timesteps: 830000, Eval reward: 0.6222222222222221
Timesteps: 840000, Eval reward: 0.6083333333333332
Timesteps: 850000, Eval reward: 0.6180555555555556
Timesteps: 860000, Eval reward: 0.6208333333333333
Timesteps: 870000, Eval reward: 0.5833333333333333
Timesteps: 880000, Eval reward: 0.588888888888889
Timesteps: 890000, Eval reward: 0.6291666666666667
Timesteps: 900000, Eval reward: 0.611111111111111
Timesteps: 910000, Eval reward: 0.5999999999999999
Timesteps: 920000, Eval reward: 0.6263888888888889
Timesteps: 930000, Eval reward: 0.5111111111111112
Timesteps: 940000, Eval reward: 0.6333333333333332
Timesteps: 950000, Eval reward: 0.6263888888888889
Timesteps: 960000, Eval reward: 0.6430555555555555
Timesteps: 970000, Eval reward: 0.6722222222222223
Timesteps: 980000, Eval reward: 0.5652777777777777
Timesteps: 990000, Eval reward: 0.7027777777777778
Timesteps: 1000000, Eval reward: 0.6430555555555555
