Timesteps: 10000, Eval reward: -0.13888888888888892
Timesteps: 20000, Eval reward: -0.0611111111111111
Timesteps: 30000, Eval reward: 0.11666666666666667
Timesteps: 40000, Eval reward: 0.14444444444444446
Timesteps: 50000, Eval reward: 0.2444444444444444
Timesteps: 60000, Eval reward: 0.2444444444444444
Timesteps: 70000, Eval reward: 0.29444444444444445
Timesteps: 80000, Eval reward: 0.2611111111111111
Timesteps: 90000, Eval reward: 0.3111111111111111
Timesteps: 100000, Eval reward: 0.3277777777777778
Timesteps: 110000, Eval reward: 0.2166666666666667
Timesteps: 120000, Eval reward: 0.1888888888888889
Timesteps: 130000, Eval reward: 0.34444444444444433
Timesteps: 140000, Eval reward: 0.2777777777777778
Timesteps: 150000, Eval reward: 0.32222222222222213
Timesteps: 160000, Eval reward: 0.38333333333333325
Timesteps: 170000, Eval reward: 0.34444444444444444
Timesteps: 180000, Eval reward: 0.3277777777777778
Timesteps: 190000, Eval reward: 0.33333333333333337
Timesteps: 200000, Eval reward: 0.37222222222222223
Timesteps: 210000, Eval reward: 0.3722222222222222
Timesteps: 220000, Eval reward: 0.39999999999999997
Timesteps: 230000, Eval reward: 0.40555555555555556
Timesteps: 240000, Eval reward: 0.3944444444444445
Timesteps: 250000, Eval reward: 0.4111111111111111
Timesteps: 260000, Eval reward: 0.3722222222222223
Timesteps: 270000, Eval reward: 0.4444444444444445
Timesteps: 280000, Eval reward: 0.4555555555555556
Timesteps: 290000, Eval reward: 0.46111111111111114
Timesteps: 300000, Eval reward: 0.38888888888888884
Timesteps: 310000, Eval reward: 0.43888888888888883
Timesteps: 320000, Eval reward: 0.47777777777777797
Timesteps: 330000, Eval reward: 0.4666666666666667
Timesteps: 340000, Eval reward: 0.4444444444444445
Timesteps: 350000, Eval reward: 0.5111111111111112
Timesteps: 360000, Eval reward: 0.49444444444444446
Timesteps: 370000, Eval reward: 0.4888888888888888
Timesteps: 380000, Eval reward: 0.49444444444444446
Timesteps: 390000, Eval reward: 0.5277777777777779
Timesteps: 400000, Eval reward: 0.5777777777777777
Timesteps: 410000, Eval reward: 0.6055555555555556
Timesteps: 420000, Eval reward: 0.5166666666666667
Timesteps: 430000, Eval reward: 0.5277777777777777
Timesteps: 440000, Eval reward: 0.42222222222222233
Timesteps: 450000, Eval reward: 0.4888888888888888
Timesteps: 460000, Eval reward: 0.55
Timesteps: 470000, Eval reward: 0.5944444444444444
Timesteps: 480000, Eval reward: 0.511111111111111
Timesteps: 490000, Eval reward: 0.40555555555555556
Timesteps: 500000, Eval reward: 0.5166666666666667
Timesteps: 510000, Eval reward: 0.39444444444444443
Timesteps: 520000, Eval reward: 0.5888888888888888
Timesteps: 530000, Eval reward: 0.4722222222222222
Timesteps: 540000, Eval reward: 0.4222222222222222
Timesteps: 550000, Eval reward: 0.55
Timesteps: 560000, Eval reward: 0.5055555555555556
Timesteps: 570000, Eval reward: 0.561111111111111
Timesteps: 580000, Eval reward: 0.45555555555555555
Timesteps: 590000, Eval reward: 0.5388888888888889
Timesteps: 600000, Eval reward: 0.4333333333333334
Timesteps: 610000, Eval reward: 0.5277777777777778
Timesteps: 620000, Eval reward: 0.4499999999999999
Timesteps: 630000, Eval reward: 0.3722222222222222
Timesteps: 640000, Eval reward: 0.4333333333333334
Timesteps: 650000, Eval reward: 0.36111111111111105
Timesteps: 660000, Eval reward: 0.4722222222222222
Timesteps: 670000, Eval reward: 0.41666666666666663
Timesteps: 680000, Eval reward: 0.4833333333333334
Timesteps: 690000, Eval reward: 0.4111111111111111
Timesteps: 700000, Eval reward: 0.5444444444444444
Timesteps: 710000, Eval reward: 0.45555555555555555
Timesteps: 720000, Eval reward: 0.4444444444444445
Timesteps: 730000, Eval reward: 0.4499999999999999
Timesteps: 740000, Eval reward: 0.5055555555555555
Timesteps: 750000, Eval reward: 0.4833333333333332
Timesteps: 760000, Eval reward: 0.45555555555555555
Timesteps: 770000, Eval reward: 0.41111111111111115
Timesteps: 780000, Eval reward: 0.36111111111111105
Timesteps: 790000, Eval reward: 0.48888888888888904
Timesteps: 800000, Eval reward: 0.4833333333333333
Timesteps: 810000, Eval reward: 0.4999999999999999
Timesteps: 820000, Eval reward: 0.4888888888888888
Timesteps: 830000, Eval reward: 0.4555555555555556
Timesteps: 840000, Eval reward: 0.5166666666666666
Timesteps: 850000, Eval reward: 0.5944444444444443
Timesteps: 860000, Eval reward: 0.5166666666666666
Timesteps: 870000, Eval reward: 0.5444444444444445
Timesteps: 880000, Eval reward: 0.42777777777777776
Timesteps: 890000, Eval reward: 0.4666666666666667
Timesteps: 900000, Eval reward: 0.4888888888888888
Timesteps: 910000, Eval reward: 0.5
Timesteps: 920000, Eval reward: 0.5444444444444445
Timesteps: 930000, Eval reward: 0.5777777777777778
Timesteps: 940000, Eval reward: 0.5055555555555555
Timesteps: 950000, Eval reward: 0.33888888888888885
Timesteps: 960000, Eval reward: 0.55
Timesteps: 970000, Eval reward: 0.6555555555555556
Timesteps: 980000, Eval reward: 0.5111111111111111
Timesteps: 990000, Eval reward: 0.47777777777777775
Timesteps: 1000000, Eval reward: 0.5833333333333333
