Timesteps: 10000, Eval reward: 0.12500000000000003
Timesteps: 20000, Eval reward: 0.22222222222222224
Timesteps: 30000, Eval reward: 0.37500000000000006
Timesteps: 40000, Eval reward: 0.3416666666666667
Timesteps: 50000, Eval reward: 0.38888888888888895
Timesteps: 60000, Eval reward: 0.275
Timesteps: 70000, Eval reward: 0.3388888888888889
Timesteps: 80000, Eval reward: 0.35555555555555557
Timesteps: 90000, Eval reward: 0.2916666666666667
Timesteps: 100000, Eval reward: 0.3638888888888889
Timesteps: 110000, Eval reward: 0.35
Timesteps: 120000, Eval reward: 0.3583333333333334
Timesteps: 130000, Eval reward: 0.27222222222222225
Timesteps: 140000, Eval reward: 0.35277777777777775
Timesteps: 150000, Eval reward: 0.3638888888888888
Timesteps: 160000, Eval reward: 0.4166666666666668
Timesteps: 170000, Eval reward: 0.41944444444444445
Timesteps: 180000, Eval reward: 0.525
Timesteps: 190000, Eval reward: 0.4722222222222222
Timesteps: 200000, Eval reward: 0.5166666666666667
Timesteps: 210000, Eval reward: 0.5555555555555556
Timesteps: 220000, Eval reward: 0.4666666666666667
Timesteps: 230000, Eval reward: 0.4666666666666665
Timesteps: 240000, Eval reward: 0.48888888888888893
Timesteps: 250000, Eval reward: 0.5388888888888888
Timesteps: 260000, Eval reward: 0.5277777777777778
Timesteps: 270000, Eval reward: 0.5361111111111111
Timesteps: 280000, Eval reward: 0.525
Timesteps: 290000, Eval reward: 0.5111111111111112
Timesteps: 300000, Eval reward: 0.6194444444444444
Timesteps: 310000, Eval reward: 0.6305555555555555
Timesteps: 320000, Eval reward: 0.6166666666666666
Timesteps: 330000, Eval reward: 0.6888888888888889
Timesteps: 340000, Eval reward: 0.5777777777777777
Timesteps: 350000, Eval reward: 0.5805555555555556
Timesteps: 360000, Eval reward: 0.6555555555555554
Timesteps: 370000, Eval reward: 0.6833333333333332
Timesteps: 380000, Eval reward: 0.5972222222222222
Timesteps: 390000, Eval reward: 0.5722222222222222
Timesteps: 400000, Eval reward: 0.6222222222222222
Timesteps: 410000, Eval reward: 0.5305555555555556
Timesteps: 420000, Eval reward: 0.611111111111111
Timesteps: 430000, Eval reward: 0.6722222222222222
Timesteps: 440000, Eval reward: 0.686111111111111
Timesteps: 450000, Eval reward: 0.6972222222222222
Timesteps: 460000, Eval reward: 0.7305555555555554
Timesteps: 470000, Eval reward: 0.7027777777777777
Timesteps: 480000, Eval reward: 0.6916666666666667
Timesteps: 490000, Eval reward: 0.586111111111111
Timesteps: 500000, Eval reward: 0.6833333333333332
Timesteps: 510000, Eval reward: 0.7
Timesteps: 520000, Eval reward: 0.6944444444444444
Timesteps: 530000, Eval reward: 0.6583333333333333
Timesteps: 540000, Eval reward: 0.7000000000000001
Timesteps: 550000, Eval reward: 0.6833333333333333
Timesteps: 560000, Eval reward: 0.6527777777777779
Timesteps: 570000, Eval reward: 0.6638888888888889
Timesteps: 580000, Eval reward: 0.6527777777777779
Timesteps: 590000, Eval reward: 0.6916666666666664
Timesteps: 600000, Eval reward: 0.663888888888889
Timesteps: 610000, Eval reward: 0.6444444444444444
Timesteps: 620000, Eval reward: 0.7472222222222223
Timesteps: 630000, Eval reward: 0.725
Timesteps: 640000, Eval reward: 0.6944444444444443
Timesteps: 650000, Eval reward: 0.7027777777777777
Timesteps: 660000, Eval reward: 0.7027777777777776
Timesteps: 670000, Eval reward: 0.6888888888888889
Timesteps: 680000, Eval reward: 0.6277777777777778
Timesteps: 690000, Eval reward: 0.7027777777777777
Timesteps: 700000, Eval reward: 0.7194444444444444
Timesteps: 710000, Eval reward: 0.6027777777777776
Timesteps: 720000, Eval reward: 0.6083333333333334
Timesteps: 730000, Eval reward: 0.5000000000000001
Timesteps: 740000, Eval reward: 0.5888888888888888
Timesteps: 750000, Eval reward: 0.5666666666666667
Timesteps: 760000, Eval reward: 0.5861111111111111
Timesteps: 770000, Eval reward: 0.6333333333333334
Timesteps: 780000, Eval reward: 0.575
Timesteps: 790000, Eval reward: 0.6222222222222225
Timesteps: 800000, Eval reward: 0.5277777777777779
Timesteps: 810000, Eval reward: 0.47777777777777786
Timesteps: 820000, Eval reward: 0.49444444444444446
Timesteps: 830000, Eval reward: 0.4916666666666667
Timesteps: 840000, Eval reward: 0.5055555555555556
Timesteps: 850000, Eval reward: 0.6083333333333333
Timesteps: 860000, Eval reward: 0.5833333333333333
Timesteps: 870000, Eval reward: 0.5666666666666665
Timesteps: 880000, Eval reward: 0.713888888888889
Timesteps: 890000, Eval reward: 0.638888888888889
Timesteps: 900000, Eval reward: 0.6777777777777778
Timesteps: 910000, Eval reward: 0.6944444444444444
Timesteps: 920000, Eval reward: 0.6666666666666667
Timesteps: 930000, Eval reward: 0.6305555555555556
Timesteps: 940000, Eval reward: 0.6527777777777778
Timesteps: 950000, Eval reward: 0.5722222222222222
Timesteps: 960000, Eval reward: 0.7138888888888889
Timesteps: 970000, Eval reward: 0.7027777777777777
Timesteps: 980000, Eval reward: 0.7027777777777777
Timesteps: 990000, Eval reward: 0.6916666666666667
Timesteps: 1000000, Eval reward: 0.49444444444444435
