Timesteps: 10000, Eval reward: 0.0909090909090909
Timesteps: 20000, Eval reward: 0.17272727272727273
Timesteps: 30000, Eval reward: 0.18636363636363634
Timesteps: 40000, Eval reward: 0.1954545454545454
Timesteps: 50000, Eval reward: 0.15909090909090912
Timesteps: 60000, Eval reward: 0.17727272727272725
Timesteps: 70000, Eval reward: 0.2818181818181818
Timesteps: 80000, Eval reward: 0.2636363636363636
Timesteps: 90000, Eval reward: 0.19999999999999996
Timesteps: 100000, Eval reward: 0.09999999999999999
Timesteps: 110000, Eval reward: 0.15909090909090912
Timesteps: 120000, Eval reward: 0.23181818181818176
Timesteps: 130000, Eval reward: 0.2545454545454545
Timesteps: 140000, Eval reward: 0.23181818181818176
Timesteps: 150000, Eval reward: 0.29999999999999993
Timesteps: 160000, Eval reward: 0.4045454545454546
Timesteps: 170000, Eval reward: 0.33181818181818173
Timesteps: 180000, Eval reward: 0.4136363636363636
Timesteps: 190000, Eval reward: 0.35909090909090896
Timesteps: 200000, Eval reward: 0.3409090909090909
Timesteps: 210000, Eval reward: 0.46818181818181814
Timesteps: 220000, Eval reward: 0.4181818181818181
Timesteps: 230000, Eval reward: 0.4818181818181819
Timesteps: 240000, Eval reward: 0.7136363636363636
Timesteps: 250000, Eval reward: 0.6227272727272728
Timesteps: 260000, Eval reward: 0.30454545454545445
Timesteps: 270000, Eval reward: 0.5272727272727273
Timesteps: 280000, Eval reward: 0.5727272727272728
Timesteps: 290000, Eval reward: 0.6363636363636364
Timesteps: 300000, Eval reward: 0.509090909090909
Timesteps: 310000, Eval reward: 0.5545454545454545
Timesteps: 320000, Eval reward: 0.6454545454545454
Timesteps: 330000, Eval reward: 0.7136363636363636
Timesteps: 340000, Eval reward: 0.6681818181818181
Timesteps: 350000, Eval reward: 0.840909090909091
Timesteps: 360000, Eval reward: 0.9681818181818181
Timesteps: 370000, Eval reward: 1.0
Timesteps: 380000, Eval reward: 0.95
Timesteps: 390000, Eval reward: 0.9772727272727273
Timesteps: 400000, Eval reward: 1.0
Timesteps: 410000, Eval reward: 0.9772727272727273
Timesteps: 420000, Eval reward: 0.95
Timesteps: 430000, Eval reward: 0.959090909090909
Timesteps: 440000, Eval reward: 1.0
Timesteps: 450000, Eval reward: 1.0
Timesteps: 460000, Eval reward: 1.0
Timesteps: 470000, Eval reward: 0.95
Timesteps: 480000, Eval reward: 1.0
Timesteps: 490000, Eval reward: 0.8590909090909091
Timesteps: 500000, Eval reward: 0.9545454545454545
Timesteps: 510000, Eval reward: 1.0
Timesteps: 520000, Eval reward: 1.0
Timesteps: 530000, Eval reward: 1.0
Timesteps: 540000, Eval reward: 1.0
Timesteps: 550000, Eval reward: 0.95
Timesteps: 560000, Eval reward: 1.0
Timesteps: 570000, Eval reward: 1.0
Timesteps: 580000, Eval reward: 1.0
Timesteps: 590000, Eval reward: 1.0
Timesteps: 600000, Eval reward: 0.7909090909090909
Timesteps: 610000, Eval reward: 0.8681818181818182
Timesteps: 620000, Eval reward: 1.0
Timesteps: 630000, Eval reward: 0.8045454545454545
Timesteps: 640000, Eval reward: 0.95
Timesteps: 650000, Eval reward: 1.0
Timesteps: 660000, Eval reward: 1.0
Timesteps: 670000, Eval reward: 1.0
Timesteps: 680000, Eval reward: 0.95
Timesteps: 690000, Eval reward: 0.95
Timesteps: 700000, Eval reward: 1.0
Timesteps: 710000, Eval reward: 1.0
Timesteps: 720000, Eval reward: 1.0
Timesteps: 730000, Eval reward: 1.0
Timesteps: 740000, Eval reward: 1.0
Timesteps: 750000, Eval reward: 0.9727272727272727
Timesteps: 760000, Eval reward: 1.0
Timesteps: 770000, Eval reward: 0.9
Timesteps: 780000, Eval reward: 1.0
Timesteps: 790000, Eval reward: 0.959090909090909
Timesteps: 800000, Eval reward: 0.9727272727272727
Timesteps: 810000, Eval reward: 1.0
Timesteps: 820000, Eval reward: 1.0
Timesteps: 830000, Eval reward: 0.95
Timesteps: 840000, Eval reward: 1.0
Timesteps: 850000, Eval reward: 1.0
Timesteps: 860000, Eval reward: 0.959090909090909
Timesteps: 870000, Eval reward: 1.0
Timesteps: 880000, Eval reward: 1.0
Timesteps: 890000, Eval reward: 1.0
Timesteps: 900000, Eval reward: 0.9636363636363636
Timesteps: 910000, Eval reward: 1.0
Timesteps: 920000, Eval reward: 1.0
Timesteps: 930000, Eval reward: 1.0
Timesteps: 940000, Eval reward: 1.0
Timesteps: 950000, Eval reward: 1.0
Timesteps: 960000, Eval reward: 0.95
Timesteps: 970000, Eval reward: 0.9727272727272727
Timesteps: 980000, Eval reward: 0.959090909090909
Timesteps: 990000, Eval reward: 1.0
Timesteps: 1000000, Eval reward: 1.0
