Timesteps: 13, Eval reward: -76.6
Timesteps: 8, Eval reward: -68.75
Timesteps: 10040, Eval reward: -66.9
Timesteps: 20030, Eval reward: -78.2
Timesteps: 30002, Eval reward: -51.05
Timesteps: 40015, Eval reward: -58.95
Timesteps: 50039, Eval reward: -59.15
Timesteps: 60044, Eval reward: -51.9
Timesteps: 70011, Eval reward: -54.8
Timesteps: 80054, Eval reward: -54.8
Timesteps: 90004, Eval reward: -58.05
Timesteps: 100043, Eval reward: -70.35
Timesteps: 110011, Eval reward: -64.05
Timesteps: 120046, Eval reward: -39.8
Timesteps: 130019, Eval reward: -53.45
Timesteps: 140010, Eval reward: -42.7
Timesteps: 150065, Eval reward: -44.1
