Timesteps: 16, Eval reward: -77.69804229736329
Timesteps: 10006, Eval reward: 79.58580932617187
Timesteps: 20005, Eval reward: 88.18662033081054
Timesteps: 30019, Eval reward: 209.90859451293946
Timesteps: 40002, Eval reward: 109.47388610839843
Timesteps: 50012, Eval reward: 120.779541015625
Timesteps: 60006, Eval reward: 109.23759307861329
Timesteps: 70002, Eval reward: 161.07672042846679
Timesteps: 80004, Eval reward: 146.77123794555663
Timesteps: 90002, Eval reward: 166.3631118774414
Timesteps: 100004, Eval reward: 130.77862091064452
Timesteps: 110008, Eval reward: 200.64848937988282
Timesteps: 120007, Eval reward: 202.78683471679688
Timesteps: 130001, Eval reward: 114.87394790649414
Timesteps: 140001, Eval reward: 118.68200607299805
Timesteps: 150012, Eval reward: 135.06728591918946
Timesteps: 160009, Eval reward: 119.74412078857422
Timesteps: 170000, Eval reward: 187.31595840454102
Timesteps: 180010, Eval reward: 151.00678558349608
Timesteps: 190005, Eval reward: 100.29621200561523
Timesteps: 200003, Eval reward: 127.12939758300782
Timesteps: 210015, Eval reward: 133.90340194702148
Timesteps: 220001, Eval reward: 192.00762939453125
Timesteps: 230005, Eval reward: 136.65119171142578
Timesteps: 240006, Eval reward: 83.49139251708985
Timesteps: 250004, Eval reward: 123.86947174072266
Timesteps: 260004, Eval reward: 100.64373092651367
Timesteps: 270003, Eval reward: 102.76169281005859
Timesteps: 280013, Eval reward: 93.39163208007812
Timesteps: 290004, Eval reward: 101.48868942260742
Timesteps: 300009, Eval reward: 154.09882659912108
Timesteps: 310002, Eval reward: 152.6033821105957
Timesteps: 320006, Eval reward: 106.46244354248047
Timesteps: 330001, Eval reward: 162.03170318603514
Timesteps: 340005, Eval reward: 132.42976760864258
Timesteps: 350004, Eval reward: 169.36477508544922
Timesteps: 360002, Eval reward: 127.84101943969726
Timesteps: 370006, Eval reward: 96.00075302124023
Timesteps: 380003, Eval reward: 196.2385154724121
Timesteps: 390000, Eval reward: 118.34027252197265
Timesteps: 400007, Eval reward: 154.08557510375977
Timesteps: 410007, Eval reward: 150.19789123535156
Timesteps: 420005, Eval reward: 202.5290969848633
Timesteps: 430002, Eval reward: 127.8330062866211
Timesteps: 440011, Eval reward: 166.95837631225587
Timesteps: 450010, Eval reward: 217.1103401184082
Timesteps: 460008, Eval reward: 129.49828567504883
Timesteps: 470002, Eval reward: 123.2892692565918
Timesteps: 480000, Eval reward: 126.96044845581055
Timesteps: 490008, Eval reward: 152.85700073242188
Timesteps: 500011, Eval reward: 144.17516174316407
Timesteps: 510001, Eval reward: 177.01564331054686
Timesteps: 520007, Eval reward: 127.016845703125
Timesteps: 530004, Eval reward: 134.90145721435547
Timesteps: 540004, Eval reward: 177.2121238708496
Timesteps: 550002, Eval reward: 128.13514251708983
Timesteps: 560005, Eval reward: 132.30682067871095
Timesteps: 570008, Eval reward: 182.34979858398438
Timesteps: 580004, Eval reward: 110.82849578857422
Timesteps: 590005, Eval reward: 170.3023422241211
Timesteps: 600009, Eval reward: 103.59497146606445
Timesteps: 610010, Eval reward: 97.13206939697265
Timesteps: 620001, Eval reward: 150.47192001342773
Timesteps: 630007, Eval reward: 160.70064697265624
Timesteps: 640002, Eval reward: 95.75010681152344
Timesteps: 650000, Eval reward: 146.0420066833496
Timesteps: 660009, Eval reward: 127.04647674560547
Timesteps: 670002, Eval reward: 154.5020782470703
Timesteps: 680010, Eval reward: 120.03643188476562
Timesteps: 690002, Eval reward: 102.31411209106446
Timesteps: 700001, Eval reward: 98.5272087097168
Timesteps: 710012, Eval reward: 120.16018981933594
Timesteps: 720010, Eval reward: 133.1527526855469
Timesteps: 730001, Eval reward: 109.44810333251954
Timesteps: 740000, Eval reward: 149.34135665893555
Timesteps: 750012, Eval reward: 143.80472946166992
Timesteps: 760010, Eval reward: 131.67176208496093
Timesteps: 770001, Eval reward: 90.04855728149414
Timesteps: 780001, Eval reward: 170.1536880493164
Timesteps: 790007, Eval reward: 116.48022155761718
Timesteps: 800003, Eval reward: 107.77662048339843
Timesteps: 810001, Eval reward: 149.10894775390625
Timesteps: 820003, Eval reward: 105.41745681762696
Timesteps: 830000, Eval reward: 92.28486785888671
Timesteps: 840008, Eval reward: 147.9770065307617
Timesteps: 850002, Eval reward: 151.8346076965332
Timesteps: 860014, Eval reward: 91.196923828125
Timesteps: 870008, Eval reward: 166.85072326660156
Timesteps: 880005, Eval reward: 158.9464584350586
Timesteps: 890003, Eval reward: 128.6139274597168
Timesteps: 900000, Eval reward: 202.041015625
Timesteps: 910010, Eval reward: 166.67508850097656
Timesteps: 920004, Eval reward: 170.02555618286132
Timesteps: 930010, Eval reward: 126.0141357421875
Timesteps: 940008, Eval reward: 101.52425537109374
Timesteps: 950013, Eval reward: 126.0822250366211
Timesteps: 960002, Eval reward: 121.56292266845703
Timesteps: 970006, Eval reward: 80.21880722045898
Timesteps: 980005, Eval reward: 125.5158088684082
Timesteps: 990000, Eval reward: 113.67478256225586
Timesteps: 1000005, Eval reward: 180.67216567993165
