Timesteps: 96, Eval reward: 8.9
Timesteps: 10071, Eval reward: 5.35
Timesteps: 20082, Eval reward: 9.75
Timesteps: 30067, Eval reward: 10.6
Timesteps: 40083, Eval reward: 8.1
Timesteps: 50117, Eval reward: 12.35
Timesteps: 60054, Eval reward: 8.1
Timesteps: 70139, Eval reward: 9.05
Timesteps: 80097, Eval reward: 8.6
Timesteps: 90031, Eval reward: 6.55
Timesteps: 100013, Eval reward: 6.9
Timesteps: 110022, Eval reward: 8.7
Timesteps: 120080, Eval reward: 10.8
Timesteps: 130025, Eval reward: 7.6
Timesteps: 140005, Eval reward: 6.05
Timesteps: 150033, Eval reward: 9.35
Timesteps: 160076, Eval reward: 9.95
Timesteps: 170049, Eval reward: 10.7
Timesteps: 180091, Eval reward: 10.1
Timesteps: 190049, Eval reward: 10.6
Timesteps: 200082, Eval reward: 6.35
Timesteps: 210062, Eval reward: 8.0
Timesteps: 220015, Eval reward: 6.7
Timesteps: 230018, Eval reward: 5.45
Timesteps: 240033, Eval reward: 6.6
Timesteps: 250005, Eval reward: 11.45
Timesteps: 260054, Eval reward: 11.0
Timesteps: 270033, Eval reward: 6.25
Timesteps: 280050, Eval reward: 7.25
Timesteps: 290067, Eval reward: 7.9
Timesteps: 300112, Eval reward: 11.6
Timesteps: 310059, Eval reward: 10.45
Timesteps: 320003, Eval reward: 9.85
Timesteps: 330062, Eval reward: 7.4
Timesteps: 340071, Eval reward: 9.2
Timesteps: 350025, Eval reward: 7.6
Timesteps: 360103, Eval reward: 7.6
Timesteps: 370079, Eval reward: 11.45
Timesteps: 380097, Eval reward: 12.75
Timesteps: 390078, Eval reward: 13.55
Timesteps: 400046, Eval reward: 14.0
Timesteps: 410088, Eval reward: 13.0
Timesteps: 420073, Eval reward: 13.45
Timesteps: 430113, Eval reward: 10.25
Timesteps: 440079, Eval reward: 14.1
Timesteps: 450110, Eval reward: 9.9
Timesteps: 460026, Eval reward: 12.5
Timesteps: 470072, Eval reward: 11.25
Timesteps: 480017, Eval reward: 10.75
Timesteps: 490065, Eval reward: 14.55
Timesteps: 500042, Eval reward: 14.05
Timesteps: 510098, Eval reward: 9.05
Timesteps: 520056, Eval reward: 8.7
Timesteps: 530005, Eval reward: 10.75
Timesteps: 540041, Eval reward: 12.55
Timesteps: 550086, Eval reward: 13.45
Timesteps: 560069, Eval reward: 11.5
Timesteps: 570175, Eval reward: 10.35
Timesteps: 580129, Eval reward: 13.15
Timesteps: 590008, Eval reward: 10.9
Timesteps: 600028, Eval reward: 7.75
Timesteps: 610011, Eval reward: 12.6
Timesteps: 620051, Eval reward: 12.9
Timesteps: 630100, Eval reward: 11.9
Timesteps: 640024, Eval reward: 9.75
Timesteps: 650152, Eval reward: 12.4
Timesteps: 660089, Eval reward: 12.35
Timesteps: 670039, Eval reward: 12.8
Timesteps: 680004, Eval reward: 13.6
Timesteps: 690114, Eval reward: 12.1
Timesteps: 700046, Eval reward: 13.85
Timesteps: 710019, Eval reward: 12.45
Timesteps: 720006, Eval reward: 12.75
Timesteps: 730003, Eval reward: 11.2
Timesteps: 740072, Eval reward: 13.45
Timesteps: 750067, Eval reward: 12.65
Timesteps: 760080, Eval reward: 12.45
Timesteps: 770039, Eval reward: 12.8
Timesteps: 780039, Eval reward: 10.15
Timesteps: 790020, Eval reward: 5.85
Timesteps: 800015, Eval reward: 4.0
Timesteps: 810085, Eval reward: 4.25
Timesteps: 820087, Eval reward: 6.8
Timesteps: 830011, Eval reward: 4.55
Timesteps: 840032, Eval reward: 3.95
Timesteps: 850046, Eval reward: 8.0
Timesteps: 860055, Eval reward: 6.55
Timesteps: 870007, Eval reward: 5.8
Timesteps: 880099, Eval reward: 9.8
Timesteps: 890022, Eval reward: 3.8
Timesteps: 900044, Eval reward: 9.1
Timesteps: 910077, Eval reward: 12.55
Timesteps: 920060, Eval reward: 11.65
Timesteps: 930077, Eval reward: 11.9
Timesteps: 940091, Eval reward: 10.1
Timesteps: 950019, Eval reward: 11.65
Timesteps: 960171, Eval reward: 13.2
Timesteps: 970102, Eval reward: 12.1
Timesteps: 980091, Eval reward: 12.15
Timesteps: 990003, Eval reward: 7.5
Timesteps: 1000060, Eval reward: 9.75
Timesteps: 92, Eval reward: 7.6
Timesteps: 10074, Eval reward: 6.8
Timesteps: 20021, Eval reward: 6.05
Timesteps: 30022, Eval reward: 7.65
Timesteps: 40052, Eval reward: 7.1
Timesteps: 50071, Eval reward: 6.55
Timesteps: 60051, Eval reward: 5.85
Timesteps: 70107, Eval reward: 8.95
Timesteps: 80073, Eval reward: 9.15
Timesteps: 90018, Eval reward: 12.05
Timesteps: 100048, Eval reward: 13.75
Timesteps: 110056, Eval reward: 11.75
Timesteps: 120125, Eval reward: 9.9
Timesteps: 130006, Eval reward: 10.2
Timesteps: 140065, Eval reward: 7.35
Timesteps: 150065, Eval reward: 8.2
Timesteps: 160001, Eval reward: 12.4
Timesteps: 170011, Eval reward: 5.9
Timesteps: 180048, Eval reward: 9.95
Timesteps: 190103, Eval reward: 12.25
Timesteps: 200053, Eval reward: 11.9
Timesteps: 210091, Eval reward: 10.1
Timesteps: 220015, Eval reward: 13.5
Timesteps: 230036, Eval reward: 12.95
Timesteps: 240110, Eval reward: 12.15
Timesteps: 250101, Eval reward: 14.15
Timesteps: 260029, Eval reward: 8.95
Timesteps: 270010, Eval reward: 9.15
Timesteps: 280065, Eval reward: 10.95
Timesteps: 290006, Eval reward: 7.95
Timesteps: 300035, Eval reward: 6.35
Timesteps: 310018, Eval reward: 13.8
Timesteps: 320055, Eval reward: 9.4
Timesteps: 330039, Eval reward: 11.15
Timesteps: 340013, Eval reward: 12.45
Timesteps: 350104, Eval reward: 14.15
Timesteps: 360087, Eval reward: 11.55
Timesteps: 370043, Eval reward: 8.05
Timesteps: 380002, Eval reward: 6.15
Timesteps: 390073, Eval reward: 13.5
Timesteps: 400049, Eval reward: 11.15
Timesteps: 410080, Eval reward: 12.6
Timesteps: 420030, Eval reward: 13.5
Timesteps: 430029, Eval reward: 10.85
Timesteps: 440062, Eval reward: 7.85
Timesteps: 450052, Eval reward: 10.2
Timesteps: 460021, Eval reward: 8.45
Timesteps: 470118, Eval reward: 7.75
Timesteps: 480080, Eval reward: 5.55
Timesteps: 490024, Eval reward: 6.95
Timesteps: 500079, Eval reward: 8.2
Timesteps: 510030, Eval reward: 10.15
Timesteps: 520033, Eval reward: 9.45
Timesteps: 530062, Eval reward: 10.65
Timesteps: 540007, Eval reward: 11.65
Timesteps: 550128, Eval reward: 11.7
Timesteps: 560027, Eval reward: 11.25
Timesteps: 570064, Eval reward: 10.55
Timesteps: 580040, Eval reward: 12.1
Timesteps: 590146, Eval reward: 12.35
Timesteps: 600029, Eval reward: 6.5
Timesteps: 610007, Eval reward: 8.15
Timesteps: 620057, Eval reward: 7.55
Timesteps: 630091, Eval reward: 10.45
Timesteps: 640023, Eval reward: 13.45
Timesteps: 650004, Eval reward: 8.65
Timesteps: 660022, Eval reward: 6.6
Timesteps: 670107, Eval reward: 11.85
Timesteps: 680062, Eval reward: 12.45
Timesteps: 690084, Eval reward: 12.0
Timesteps: 700008, Eval reward: 8.45
Timesteps: 710090, Eval reward: 7.6
Timesteps: 720072, Eval reward: 9.7
Timesteps: 730018, Eval reward: 8.1
Timesteps: 740020, Eval reward: 11.45
Timesteps: 750037, Eval reward: 13.6
Timesteps: 760081, Eval reward: 11.15
Timesteps: 770024, Eval reward: 13.55
Timesteps: 780032, Eval reward: 13.75
Timesteps: 790087, Eval reward: 12.55
Timesteps: 800012, Eval reward: 12.25
Timesteps: 810023, Eval reward: 12.95
Timesteps: 820135, Eval reward: 12.7
Timesteps: 830032, Eval reward: 13.6
Timesteps: 840002, Eval reward: 11.1
Timesteps: 850080, Eval reward: 12.5
Timesteps: 860006, Eval reward: 12.45
Timesteps: 870152, Eval reward: 14.7
Timesteps: 880031, Eval reward: 12.25
Timesteps: 890126, Eval reward: 11.55
Timesteps: 900001, Eval reward: 13.6
Timesteps: 910005, Eval reward: 12.75
Timesteps: 920082, Eval reward: 11.7
Timesteps: 930005, Eval reward: 9.95
Timesteps: 940076, Eval reward: 12.15
Timesteps: 950087, Eval reward: 11.3
Timesteps: 960088, Eval reward: 11.15
Timesteps: 970003, Eval reward: 11.1
Timesteps: 980041, Eval reward: 13.7
Timesteps: 990030, Eval reward: 10.65
Timesteps: 1000111, Eval reward: 10.75
Timesteps: 140, Eval reward: 8.1
Timesteps: 10170, Eval reward: 10.4
Timesteps: 20025, Eval reward: 7.6
Timesteps: 30004, Eval reward: 7.45
Timesteps: 40037, Eval reward: 11.0
Timesteps: 50121, Eval reward: 5.6
Timesteps: 60008, Eval reward: 6.05
Timesteps: 70116, Eval reward: 11.1
Timesteps: 80006, Eval reward: 13.05
Timesteps: 90039, Eval reward: 13.85
Timesteps: 100145, Eval reward: 13.4
Timesteps: 110087, Eval reward: 14.45
Timesteps: 120089, Eval reward: 12.5
Timesteps: 130052, Eval reward: 7.6
Timesteps: 140016, Eval reward: 7.95
Timesteps: 150037, Eval reward: 12.45
Timesteps: 160079, Eval reward: 7.1
Timesteps: 170001, Eval reward: 9.65
Timesteps: 180026, Eval reward: 6.45
Timesteps: 190023, Eval reward: 9.15
Timesteps: 200022, Eval reward: 8.75
Timesteps: 210046, Eval reward: 8.5
Timesteps: 220049, Eval reward: 8.4
Timesteps: 230089, Eval reward: 8.1
Timesteps: 240052, Eval reward: 6.2
Timesteps: 250026, Eval reward: 11.3
Timesteps: 260095, Eval reward: 7.85
Timesteps: 270004, Eval reward: 6.45
Timesteps: 280010, Eval reward: 5.4
Timesteps: 290014, Eval reward: 4.7
Timesteps: 300007, Eval reward: 4.5
Timesteps: 310065, Eval reward: 5.75
Timesteps: 320018, Eval reward: 4.2
Timesteps: 330037, Eval reward: 8.05
Timesteps: 340138, Eval reward: 9.55
Timesteps: 350011, Eval reward: 9.35
Timesteps: 360030, Eval reward: 10.45
Timesteps: 370062, Eval reward: 10.15
Timesteps: 380056, Eval reward: 5.05
Timesteps: 390039, Eval reward: 5.25
Timesteps: 400131, Eval reward: 9.0
Timesteps: 410031, Eval reward: 8.7
Timesteps: 420153, Eval reward: 7.9
Timesteps: 430016, Eval reward: 8.65
Timesteps: 440109, Eval reward: 13.1
Timesteps: 450059, Eval reward: 8.5
Timesteps: 460075, Eval reward: 10.1
Timesteps: 470000, Eval reward: 9.1
Timesteps: 480091, Eval reward: 7.0
Timesteps: 490067, Eval reward: 8.2
Timesteps: 500020, Eval reward: 4.25
Timesteps: 510015, Eval reward: 5.65
Timesteps: 520094, Eval reward: 5.85
Timesteps: 530014, Eval reward: 4.85
Timesteps: 540073, Eval reward: 3.1
Timesteps: 550037, Eval reward: 4.1
Timesteps: 560013, Eval reward: 10.5
Timesteps: 570086, Eval reward: 8.25
Timesteps: 580087, Eval reward: 14.1
Timesteps: 590029, Eval reward: 12.95
Timesteps: 600084, Eval reward: 10.35
Timesteps: 610065, Eval reward: 9.7
Timesteps: 620057, Eval reward: 13.3
Timesteps: 630066, Eval reward: 12.85
Timesteps: 640012, Eval reward: 8.6
Timesteps: 650014, Eval reward: 7.85
Timesteps: 660048, Eval reward: 7.35
Timesteps: 670034, Eval reward: 10.8
Timesteps: 680096, Eval reward: 12.4
Timesteps: 690077, Eval reward: 8.85
Timesteps: 700105, Eval reward: 11.35
Timesteps: 710069, Eval reward: 11.4
Timesteps: 720039, Eval reward: 7.75
Timesteps: 730012, Eval reward: 4.35
Timesteps: 740023, Eval reward: 6.7
Timesteps: 750043, Eval reward: 5.45
Timesteps: 760078, Eval reward: 6.5
Timesteps: 770042, Eval reward: 8.4
Timesteps: 780055, Eval reward: 6.2
Timesteps: 790023, Eval reward: 6.8
Timesteps: 800063, Eval reward: 3.75
Timesteps: 810033, Eval reward: 3.75
Timesteps: 820008, Eval reward: 5.25
Timesteps: 830024, Eval reward: 7.0
Timesteps: 840071, Eval reward: 4.95
Timesteps: 850044, Eval reward: 5.9
Timesteps: 860028, Eval reward: 5.9
Timesteps: 870017, Eval reward: 3.0
Timesteps: 880022, Eval reward: 6.7
Timesteps: 890038, Eval reward: 6.85
Timesteps: 900077, Eval reward: 9.75
Timesteps: 910009, Eval reward: 6.95
Timesteps: 920069, Eval reward: 8.0
Timesteps: 930003, Eval reward: 4.2
Timesteps: 940038, Eval reward: 9.9
Timesteps: 950053, Eval reward: 13.3
Timesteps: 960010, Eval reward: 14.75
Timesteps: 970062, Eval reward: 8.6
Timesteps: 980179, Eval reward: 9.45
Timesteps: 990085, Eval reward: 13.0
Timesteps: 1000084, Eval reward: 12.7
